materialSampleID,country,locality,principalInvestigator,collectorList,coordinateUncertaintyInMeters,minimumElevationInMeters,decimalLongitude,decimalLatitude,yearCollected,monthCollected,dayCollected,specificEpithet,genus,diseaseDetected,fatal,sampleType,diseaseTested,ZEscore,infraspecificEpithet
131,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1606,148.45200,-36.37200,2013,11,16,signifera,Crinia,TRUE,FALSE,swabbing,Bd,1823.3698,
132,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1606,148.45200,-36.37200,2013,11,22,signifera,Crinia,TRUE,FALSE,swabbing,Bd,1620.0324,
133,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1606,148.45200,-36.37200,2013,11,22,signifera,Crinia,FALSE,FALSE,swabbing,Bd,0,
134,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1606,148.45200,-36.37200,2013,10,9,verreauxii,Litoria,TRUE,FALSE,swabbing,Bd,21.6671,alpina
135,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1606,148.45200,-36.37200,2013,10,9,verreauxii,Litoria,TRUE,FALSE,swabbing,Bd,363.3406,alpina
136,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1606,148.45200,-36.37200,2013,10,25,verreauxii,Litoria,TRUE,FALSE,swabbing,Bd,283.339,alpina
137,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1606,148.45200,-36.37200,2013,10,9,verreauxii,Litoria,TRUE,FALSE,swabbing,Bd,120.0024,alpina
138,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1606,148.45200,-36.37200,2013,10,9,verreauxii,Litoria,TRUE,FALSE,swabbing,Bd,38.3341,alpina
139,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1606,148.45200,-36.37200,2013,10,25,verreauxii,Litoria,TRUE,FALSE,swabbing,Bd,16832.0033,alpina
140,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1606,148.45200,-36.37200,2013,10,9,verreauxii,Litoria,TRUE,FALSE,swabbing,Bd,20.0004,alpina
141,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1606,148.45200,-36.37200,2013,10,25,verreauxii,Litoria,TRUE,FALSE,swabbing,Bd,67916.3583,alpina
142,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1606,148.45200,-36.37200,2013,10,25,verreauxii,Litoria,TRUE,FALSE,swabbing,Bd,11940.2388,alpina
143,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1606,148.45200,-36.37200,2013,10,9,verreauxii,Litoria,TRUE,FALSE,swabbing,Bd,2651.7197,alpina
144,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1606,148.45200,-36.37200,2013,10,9,verreauxii,Litoria,FALSE,FALSE,swabbing,Bd,0,alpina
145,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1606,148.45200,-36.37200,2013,10,25,verreauxii,Litoria,TRUE,FALSE,swabbing,Bd,18882.0443,alpina
146,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1519,148.48400,-36.35900,2013,9,25,signifera,Crinia ,TRUE,FALSE,swabbing,Bd,1061.6879,
147,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1519,148.48400,-36.35900,2013,9,25,signifera,Crinia ,TRUE,FALSE,swabbing,Bd,880.0176,
148,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1519,148.48400,-36.35900,2013,9,25,signifera,Crinia ,TRUE,FALSE,swabbing,Bd,491.6765,
149,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1519,148.48400,-36.35900,2013,9,25,signifera,Crinia ,TRUE,FALSE,swabbing,Bd,1036.6874,
